SampleID	Genotype	Origin	Site_planted	Rhizo_Bulk	SampleType	Root_Mass_mg	Shoot_Mass_g	pH	Phosphorus	Potassium	Calcium	Magnesium	Copper	Percent_Organic_Matter	Sodium	Nitrate	Ammonium	Percent_Moisture	TotalN	Sulfur	Soil_tempC	Air_TempC	Description	PD_whole_tree_alpha	PD_whole_tree_normalized_alpha	PD_whole_tree_alpha_label	shannon_alpha	shannon_normalized_alpha	shannon_alpha_label	WU_Axis1	WU_Axis2
Mim255	LMC	Inland	Coastal	Rhizo	LMC (Inland ecotype)	43.4	0.0861	5.9	18	39	895	259	2.5	4.8	154	0	7.1	40.1	0.162	27	10.08414	13.4	LMC81	184.92516	0.600071271	bin_3_of_4	10.34290629	0.604498519	bin_3_of_4	-0.106934994	0.022787389
Mim261	BulkSoil	Coastal	Coastal	Bulk	Bulk Soil			6.2	14	42	697	220	2.7	3.1	132	0	3.2	27.9	0.086	20			Bulk261	194.67361	0.737651936	bin_3_of_4	10.59173187	0.783196236	bin_4_of_4	-0.092123344	-0.09833998
Mim266	BulkSoil	Coastal	Coastal	Bulk	Bulk Soil			5.9	19	48	789	223	2.4	3.6	143	0	6.1	35.6	0.171	28			Bulk266	186.82239	0.626847032	bin_3_of_4	10.38008985	0.631202434	bin_3_of_4	-0.097958394	-0.130439806
Mim271	BulkSoil	Coastal	Coastal	Bulk	Bulk Soil			6.2	19	53	750	213	2.2	3	114	0	4.5	34.3	0.114	22			Bulk271	205.79075	0.894549034	bin_4_of_4	10.7672533	0.909249504	bin_4_of_4	-0.094703567	-0.090591473
Mim277	BulkSoil	Coastal	Coastal	Bulk	Bulk Soil			6	16	40	996	262	2.9	4.4	160	0	6.1	40.7	0.187	29			Bulk277	206.78283	0.90855034	bin_4_of_4	10.80301545	0.934932609	bin_4_of_4	-0.117168422	-0.094691361
Mim286	BulkSoil	Coastal	Coastal	Bulk	Bulk Soil			6.1	19	63	709	219	1.9	3.2	130	0	6.4	32.7	0.135	19			Bulk286	193.49206	0.720976625	bin_3_of_4	10.62976999	0.810513859	bin_4_of_4	-0.108146699	-0.105338898
Mim2	MRR	Coastal	Inland	Rhizo	MRR (Coastal ecotype)	18.2	0.079	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	18.4	29.55792	SWB273	178.47336	0.509016495	bin_3_of_4	10.73110769	0.883291007	bin_4_of_4	0.11635342	0.125727738
Mim31	SWB	Coastal	Inland	Rhizo	SWB (Coastal ecotype)	48	0.0262	6.3	3	189	2635	1791	20.4	4.1	52	0.2	4.1	16.8	0.143	14	20.2	29.55792	LMC268	169.80975	0.386746264	bin_2_of_4	10.47482988	0.699241371	bin_3_of_4	0.148099428	0.043428214
Mim32	OCC	Inland	Inland	Rhizo	OCC (Inland ecotype)	11.3	0.0159	6	4	160	2556	1602	25.2	6.1	52	1.1	7.2	19.1	0.239	21	21.1	28.018908	LMC269	183.0748	0.57395699	bin_3_of_4	10.78588101	0.922627262	bin_4_of_4	0.074885852	0.136561323
Mim46	MRR	Coastal	Inland	Rhizo	MRR (Coastal ecotype)	40.9	0.0928	6	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.21	18	18.8	31.413624	SWB168	152.8577	0.147500609	bin_1_of_4	10.28211968	0.560843737	bin_3_of_4	0.162527998	0.011956263
Mim47	SWB	Coastal	Inland	Rhizo	SWB (Coastal ecotype)	41.43	0.102	6	4	185	2556	1738	23	5.6	48	0.45	7.4	11.8	0.22	19	19.1	31.413624	SWB164	142.40636	0	bin_1_of_4	9.889259867	0.278705743	bin_2_of_4	0.18916193	-0.058414313
Mim57	SWB	Coastal	Inland	Rhizo	SWB (Coastal ecotype)	11.8	0.0266	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	20	31.413624	MRR158	146.40093	0.05637569	bin_1_of_4	9.919346957	0.300313225	bin_2_of_4	0.179439696	-0.06017525
Mim58	MRR	Coastal	Inland	Rhizo	MRR (Coastal ecotype)	8.7	0.5298	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14	20.45	31.413624	MRR164	148.59392	0.087325536	bin_1_of_4	10.20958115	0.508749135	bin_3_of_4	0.149470187	0.01592957
Mim66	OCC	Inland	Inland	Rhizo	OCC (Inland ecotype)	4	0.0558	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19	20.5	28.018908	OCC164	163.88727	0.303161824	bin_2_of_4	10.57849789	0.773692058	bin_4_of_4	0.105491841	0.068147027
Mim67	OCC	Inland	Inland	Rhizo	OCC (Inland ecotype)	3	0.012	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19	20.4	28.018908	OCC161	167.31353	0.351516909	bin_2_of_4	10.52957568	0.738557864	bin_3_of_4	0.132748595	0.017596196
Mim83	LMC	Inland	Inland	Rhizo	LMC (Inland ecotype)	4.7	0.0917	6.3	3	189	2635	1791	20.4	4.1	52	0.2	4.1	16.8	0.143	14	20.5	28.018908	LMC239	191.60811	0.694388286	bin_3_of_4	10.61301832	0.798483406	bin_4_of_4	0.101625782	0.046527231
Mim87	LMC	Inland	Inland	Rhizo	LMC (Inland ecotype)	2.1	0.016	6	4	160	2556	1602	25.2	6.1	52	1.1	7.2	19.1	0.239	21	23	28.018908	OCC229	193.08638	0.71525123	bin_3_of_4	10.74128285	0.890598445	bin_4_of_4	0.082723472	0.054862134
Mim93	LMC	Inland	Inland	Rhizo	LMC (Inland ecotype)	10.3	0.0115	6	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.21	18	22.1	28.018908	MRR227	193.00209	0.714061639	bin_3_of_4	10.57569756	0.771680958	bin_4_of_4	-0.0076024	0.0686897
Mim97	SWB	Coastal	Inland	Rhizo	SWB (Coastal ecotype)	43.6	0.4276	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	21.23	31.413624	LMC231	173.80362	0.443112076	bin_2_of_4	10.51055829	0.724900243	bin_3_of_4	0.154652566	0.055568574
Mim98	OCC	Inland	Inland	Rhizo	OCC (Inland ecotype)	13.7	0.0125	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14	22.3	28.018908	LMC242	178.99486	0.516376466	bin_3_of_4	10.74569901	0.893769972	bin_4_of_4	0.077105844	0.160910097
